voyage_id,vessel_type,dwt,n_ports,nz_dest_port,p_invasion,p_alien_per_port,p_intro_per_port,p_estab_per_port,pr_inv_per_port
3636,RoRo,18836.0,7,AUCKLAND,0.0003653168,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.999862]","[0.29902692, 0.3647325, 0.45754422, 0.5851854, 0.68251237, 0.82572065]","[0.00013195, 0.00013195, 0.00011267, 0.00010291, 0.00010291, 0.00011601]","[3.94572e-05, 4.81272e-05, 5.15537e-05, 6.02206e-05, 7.02364e-05, 9.57763e-05]"
3637,RoRo,18836.0,7,AUCKLAND,0.0003673974,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.15774104, 0.2591248, 0.43336236, 0.51980824, 0.68593491, 0.84763337]","[0.00011886, 0.00011063, 0.00011063, 0.00011063, 0.00013992, 0.00013992]","[1.87498e-05, 2.8667e-05, 4.79429e-05, 5.75064e-05, 9.59791e-05, 0.0001186047]"
3639,RoRo,18828.0,7,AUCKLAND,0.0004398512,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.35005776, 0.43685517, 0.52118779, 0.60337307, 0.68147435, 0.74107081]","[0.00013195, 0.00013195, 0.00013195, 0.00013195, 0.00013195, 0.00013195]","[4.61909e-05, 5.7644e-05, 6.87718e-05, 7.96164e-05, 8.9922e-05, 9.77859e-05]"
3642,Tanker,12429.0,7,NEW PLYMOUTH,0.0002553004,"[0.999996, 0.999975, 0.999961, 0.999962, 0.99987, 0.99986]","[0.01982608, 0.05767336, 0.16490902, 0.37743026, 0.70260318, 0.91028407]","[0.00014047, 0.00010558, 0.00014047, 0.00014047, 0.00010558, 0.00010558]","[2.785e-06, 6.0891e-06, 2.31642e-05, 5.30164e-05, 7.41728e-05, 9.60964e-05]"
3646,Bulker,35130.0,5,LYTTELTON,0.0001465967,"[1.0, 1.0, 1.0, 1.0]","[0.18609719, 0.38402151, 0.48490518, 0.646756]","[0.00012132, 8.382e-05, 8.382e-05, 7.916e-05]","[2.25782e-05, 3.21873e-05, 4.0643e-05, 5.11962e-05]"
3647,Bulker,35130.0,7,TAURANGA,0.0002184101,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.03780001, 0.09547404, 0.20212713, 0.34017553, 0.43959021, 0.81572511]","[0.00011623, 0.00011063, 0.00011063, 0.00011063, 0.00011174, 0.00011567]","[4.3934e-06, 1.05623e-05, 2.23613e-05, 3.76336e-05, 4.91178e-05, 9.43588e-05]"
3654,Bulker,35104.0,5,LYTTELTON,0.0001473467,"[1.0, 1.0, 1.0, 1.0]","[0.20967401, 0.39813122, 0.5087644, 0.65314711]","[7.916e-05, 8.382e-05, 8.382e-05, 8.382e-05]","[1.65975e-05, 3.33699e-05, 4.26428e-05, 5.47444e-05]"
3656,Bulker,35104.0,6,AUCKLAND,0.0002256092,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.11799427, 0.2511569, 0.44195724, 0.54105161, 0.69905941]","[9.871e-05, 9.871e-05, 9.871e-05, 0.00013195, 0.0001061]","[1.16472e-05, 2.47917e-05, 4.36256e-05, 7.13929e-05, 7.41706e-05]"
3657,Bulker,35104.0,7,NEW PLYMOUTH,0.0001727452,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.04137208, 0.11194771, 0.26123156, 0.43009464, 0.53047092, 0.66610283]","[8.967e-05, 8.967e-05, 8.382e-05, 8.382e-05, 8.382e-05, 8.498e-05]","[3.7096e-06, 1.00378e-05, 2.18955e-05, 3.60489e-05, 4.44621e-05, 5.66026e-05]"
3658,Bulker,35104.0,6,TAURANGA,0.0001999528,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.08827896, 0.23719497, 0.39276457, 0.4898858, 0.60655418]","[9.871e-05, 0.00011174, 0.00011063, 0.00011063, 0.00011063]","[8.714e-06, 2.65031e-05, 4.34515e-05, 5.41961e-05, 6.71031e-05]"
3663,Bulker,93296.0,5,TAURANGA,0.0002298169,"[1.0, 1.0, 1.0, 1.0]","[0.28131984, 0.50605881, 0.60045753, 0.63273727]","[0.00013195, 9.871e-05, 9.871e-05, 0.00013195]","[3.71207e-05, 4.99531e-05, 5.92712e-05, 8.3491e-05]"
3665,Bulker,16949.0,5,NEW PLYMOUTH,0.0001738377,"[1.0, 1.0, 1.0, 1.0]","[0.2265571, 0.41847983, 0.56349121, 0.61320709]","[9.354e-05, 8.676e-05, 9.888e-05, 9.888e-05]","[2.11922e-05, 3.63059e-05, 5.57173e-05, 6.06331e-05]"
3667,General Cargo,12267.0,7,GISBORNE,0.0002780263,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.13308853, 0.20456137, 0.32873658, 0.4350376, 0.5225229, 0.62183895]","[0.00011553, 0.0001067, 9.871e-05, 0.00013195, 0.00013195, 0.00013195]","[1.53759e-05, 2.1826e-05, 3.24496e-05, 5.74041e-05, 6.8948e-05, 8.2053e-05]"
3668,General Cargo,12267.0,7,WELLINGTON,0.0002423017,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.13147289, 0.22324253, 0.35208023, 0.43542084, 0.66582071, 0.76400383]","[0.00010536, 8.967e-05, 0.00010536, 0.00010536, 8.776e-05, 8.776e-05]","[1.38526e-05, 2.0017e-05, 3.70968e-05, 4.5878e-05, 5.84321e-05, 6.70485e-05]"
