imo,mmsi,vessel_name,vessel_type_raw,nbic_type_group,n_voyages,DWT,Gross_Tonnage,Ship_Type,Flag,Status
9713222,232003534,BERGE RISHIRI,Bulk Carrier,Bulker,2,35172,21530,Bulk Carrier,,ok
9713832,372480000,DAIWAN GLORY,Bulk Carrier,Bulker,3,35531,22314,General Cargo Ship,,ok
9714238,565302000,HOIHOW,Bulk Carrier,Bulker,3,39721,24785,Bulk Carrier,,ok
9714252,565562000,HUNAN,Bulk Carrier,Bulker,6,39828,24785,Bulk Carrier,,ok
9714264,566829000,HUPEH,Bulk Carrier,Bulker,1,39773,24785,Bulk Carrier,,ok
9714707,538006140,RUBY,Bulk Carrier,Bulker,1,61192,34835,Bulk Carrier,,ok
9714800,563121200,THOR NIRAMIT,Bulk Carrier,Bulker,2,61171,34447,Bulk Carrier,,ok
9714812,563122800,THOR NITNIRUND,Bulk Carrier,Bulker,2,61190,34447,Bulk Carrier,,ok
9715191,477477200,LIANGCHOW,Bulk Carrier,Bulker,3,39685,24785,Bulk Carrier,,ok
9715206,477737100,LINTAN,Bulk Carrier,Bulker,2,39641,24785,Bulk Carrier,,ok
9715220,477713100,LUENHO,Bulk Carrier,Bulker,4,39752,24785,Bulk Carrier,,ok
