imo,vessel_name,vessel_type_nbic,gt_proxy,nbic_type_group,gt_size_tier,in_list_a,sample_bw_mt,sample_arrival_date,DWT,Gross_Tonnage,Ship_Type,Flag,Status
9723681,Sumire Gas,Tanker,46796,Tanker,Medium,False,19394,2024/8/10,54243,46796,LPG Tanker,,ok
9797876,G. Spirit,Tanker,47558,Tanker,Medium,False,15639,2024/11/19,54502,47558,LPG Tanker,,ok
9390599,Jag Lokesh,Tanker,57510,Tanker,Medium,False,3159,2024/8/30,105599,57510,Crude Oil Tanker,,ok
9709984,Jag Punit,Tanker,29967,Tanker,Medium,False,16873,2024/12/23,49717,29967,Chemical/Oil Products Tanker,,ok
9937062,PERTAMINA GAS CASPIA,Tanker,53573,Tanker,Medium,False,20723,2024/12/3,58257,53573,LPG Tanker,,ok
9799381,INEOS DOLPHIN,Tanker,59229,Tanker,Medium,False,10353,2024/10/25,51435,59229,LPG Tanker,,ok
9834466,Singapore Voyager,Tanker,163214,Tanker,Large,False,72948,2024/6/26,318608,163214,Crude Oil Tanker,,ok
9896933,BW CASSIA,Tanker,115373,Tanker,Large,False,43946,2024/12/24,94000,115373,LNG Tanker,,ok
9315159,ARAM,Tanker,161473,Tanker,Large,False,91176,2024/11/24,317713,161473,Crude Oil Tanker,,ok
9926714,NANTES KNUTSEN,Tanker,114180,Tanker,Large,False,23134,2024/11/27,95548,114180,LNG Tanker,,ok
9654701,KOOL KELVIN,Tanker,105832,Tanker,Large,False,47791,2024/11/19,90580,105832,LNG Tanker,,ok
9436446,Nordic Light,Tanker,81493,Tanker,Large,False,43151,2024/11/24,158555,81493,Crude Oil Tanker,,ok
9892298,ASTERIX I,Tanker,116581,Tanker,Large,False,48926,2024/7/11,93403,116581,LNG Tanker,,ok
9937945,PUTERI SAADONG,Tanker,110331,Tanker,Large,False,46313,2024/10/19,93414,110331,LNG Tanker,,ok
9640023,Cool Explorer,Tanker,102097,Tanker,Large,False,49354,2024/11/5,81893,102097,LNG Tanker,,ok
9854624,Energy Endeavour,Tanker,114195,Tanker,Large,False,44914,2024/12/8,94649,114195,LNG Tanker,,ok
9731169,Olympic Lady,Tanker,154895,Tanker,Large,False,84030,2024/5/9,299507,154895,Crude Oil Tanker,,ok
9872999,Hellas Athina,Tanker,116284,Tanker,Large,False,38091,2024/11/23,92955,116284,LNG Tanker,,ok
9948736,CELSIUS GRANADA,Tanker,119063,Tanker,Large,False,42269,2024/12/1,92385,119063,LNG Tanker,,ok
9188829,Modern Link,RoRo,33831,RoRo,Small,False,100,2024/2/26,10834,33831,Vehicles Carrier,,ok
9318515,Morning Menad,RoRo,41192,RoRo,Small,False,480,2024/12/5,12165,41192,Vehicles Carrier,,ok
9131955,MINCHAH,RoRo,11591,RoRo,Small,False,100,2024/8/1,4442,11591,Ro-Ro Cargo Ship,,ok
7523673,Tropic Night,RoRo,1561,RoRo,Small,False,66,2024/12/14,2333,1561,Landing Craft,,ok
9234068,Hurst Point,RoRo,23235,RoRo,Small,False,300,2024/2/5,13274,23235,Ro-Ro Cargo Ship,,ok
9234082,NEW AMSTERDAM,RoRo,23235,RoRo,Small,False,2687,2024/12/2,13274,23235,Ro-Ro Cargo Ship,,ok
9491886,VIKING PASSERO,RoRo,47053,RoRo,Medium,False,300,2024/1/11,12755,47053,Vehicles Carrier,,ok
9578957,LIBERTY POWER,RoRo,50110,RoRo,Medium,False,175,2024/10/28,46635,50110,Ro-Ro Cargo Ship,,ok
9427952,Pagna,RoRo,47057,RoRo,Medium,False,100,2024/2/15,11315,47057,Vehicles Carrier,,ok
9252216,Heroic Ace,RoRo,56439,RoRo,Medium,False,49,2024/10/29,19879,56439,Vehicles Carrier,,ok
9619684,Marjorie C,RoRo,47279,RoRo,Medium,False,1362,2024/1/2,24750,47279,Ro-Ro Cargo Ship,,ok
9153783,SILVER SOUL,RoRo,44219,RoRo,Medium,False,422,2024/9/30,13695,44219,Vehicles Carrier,,ok
9724738,Grande Luanda,RoRo,71543,RoRo,Large,False,1425,2024/2/20,32246,71543,Ro-Ro Cargo Ship,,ok
9316141,Arc Resolve,RoRo,61260,RoRo,Large,False,85,2024/11/13,22564,61260,Vehicles Carrier,,ok
9446013,Morning Lily,RoRo,70853,RoRo,Large,True,1288,2024/8/22,27283,70853,Vehicles Carrier,,ok
9672105,Grande Cotonou,RoRo,71543,RoRo,Large,True,750,2024/11/25,31340,71543,Ro-Ro Cargo Ship,,ok
9303546,Alliance Fairfax,RoRo,59705,RoRo,Large,False,93,2024/2/8,19670,59705,Vehicles Carrier,,ok
