voyage_id,vessel_type,cluster,dwt,n_ports,nz_dest_port,total_span_days,p_invasion,pa_mean,pi_mean,pe_mean
2656,Container,2,22314,5,TAURANGA,13.53788194,0.0001928505,0.9998925000000001,0.426985105,0.0001131
2657,Container,2,22314,5,TAURANGA,14.74493056,0.0001853242,0.999967,0.4225558275,0.00011019
2658,Container,2,22314,5,TAURANGA,19.46614583,0.0001800883,0.9998925000000001,0.39862895249999997,0.0001131
2659,Reefer,1,10608,7,TAURANGA,53.03892361,0.0002614165,1.0,0.3498018033333334,0.00012031333333333336
2662,Reefer,0,10608,5,AUCKLAND,24.45299769,0.0002045646,1.0,0.44845872249999996,0.0001171775
2664,Reefer,1,10601,6,TAURANGA,56.12770833,0.0001957807,1.0,0.31018676999999995,0.00012132399999999999
2666,Reefer,0,10601,7,AUCKLAND,22.92025463,0.0003173198,1.0,0.40085331,0.00013195
2679,Container,3,34567,7,AUCKLAND,24.01215278,0.0003103526,0.9999833333333332,0.44210954166666666,0.00011480833333333332
2708,RoRo,1,27352,7,AUCKLAND,43.36899306,0.0003597019,1.0,0.5064733183333333,0.00011954333333333332
2711,RoRo,1,27351,7,AUCKLAND,42.43979167,0.0003509449,1.0,0.5186694316666668,0.00011101333333333334
2712,RoRo,1,27351,7,AUCKLAND,44.61577546,0.0003541457,1.0,0.51534055,0.00011222500000000002
2713,RoRo,1,27351,7,AUCKLAND,44.65261574,0.0003186731,1.0,0.48066030833333334,0.00010786166666666666
2715,General Cargo,1,18143,7,AUCKLAND,39.97722222,0.0003503139,0.9999813333333334,0.4479756133333334,0.00012844166666666664
2716,General Cargo,1,17966,7,AUCKLAND,45.78157407,0.0003147138,0.9999813333333334,0.4244254966666667,0.00012131166666666667
2718,General Cargo,1,17967,7,AUCKLAND,45.09621528,0.0002746604,1.0,0.40667548166666667,0.00010769333333333333
2720,General Cargo,1,17967,7,AUCKLAND,44.30076389,0.0002962365,1.0,0.4036696083333333,0.00012094833333333333
2723,Tanker,0,46639,7,NEW PLYMOUTH,41.21210648,0.0002024024,0.9999998333333333,0.37595285833333336,9.922e-05
2725,Tanker,0,46639,7,NEW PLYMOUTH,37.78934028,0.0002110433,0.999965,0.39455282166666666,9.932e-05
2731,Bulker,4,37187,6,TAURANGA,35.28231481,0.000249583,1.0,0.451180366,0.000112006
